former_root_entry,canonical_destination,owner,status
artifacts,resources/artifacts,project_specific,moved_root_removed
data,resources/data,project_or_shared,moved_root_removed
docs,infrastructure/docs,repository,moved_root_removed
local-data,resources/data/prostate_biomarker_validation/local-data,prostate_biomarker_validation,moved_root_removed
model-weights,resources/projects/prostate_biomarker_validation/model_workspace,prostate_biomarker_validation,moved_root_removed
models,projects/prostate_biomarker_validation/code/legacy and resources/projects/prostate_biomarker_validation/model_workspace,prostate_biomarker_validation,canonicalized_alias_removed
opendataset,resources/data/shared/opendataset,shared,moved_symlink_root_removed
packages,infrastructure/packages,repository,moved_root_removed
paper,projects/prostate_biomarker_validation/paper,prostate_biomarker_validation,moved_alias_removed
paper_backup_pre_restructure_20260803_162622,resources/artifacts/prostate_biomarker_validation/archives/paper_pre_restructure_20260803_162622,prostate_biomarker_validation,moved_root_removed
reorganization,infrastructure/migrations/2026-08-12-project-separation,repository,moved_root_removed
scripts,infrastructure/scripts,repository,moved_root_removed
shared,infrastructure/shared,repository,moved_root_removed
song-datasets,resources/data/shared/song-datasets,shared,moved_root_removed
studies,projects/quantitative_foundation_model_validation,quantitative_foundation_model_validation,canonicalized_alias_removed
tests,project tests or infrastructure/tests,project_specific,moved_root_removed
.superpowers/sdd,resources/artifacts/prostate_biomarker_validation/workflow_history/superpowers_sdd,prostate_biomarker_validation,moved_runtime_content
