current_path,project,proposed_path,action
.gitignore,REPOSITORY_ROOT,.gitignore,retain
.worktrees/README.md,REPOSITORY_GOVERNANCE,.worktrees/README.md,retain
.worktrees/registry.csv,REPOSITORY_GOVERNANCE,.worktrees/registry.csv,retain
AGENTS.md,REPOSITORY_ROOT,AGENTS.md,retain
CLAUDE.md,REPOSITORY_ROOT,CLAUDE.md,retain
LICENSE,REPOSITORY_ROOT,LICENSE,retain
README.md,REPOSITORY_ROOT,README.md,retain
environment.yml,REPOSITORY_ROOT,environment.yml,retain
infrastructure/README.md,REPOSITORY_OPERATIONS,infrastructure/README.md,retain
infrastructure/docs/repository/PROJECT_STRUCTURE_CODEX.md,REPOSITORY_GOVERNANCE,infrastructure/docs/repository/PROJECT_STRUCTURE_CODEX.md,retain
infrastructure/docs/repository/ROOT_DIRECTORY_REGISTRY.csv,REPOSITORY_GOVERNANCE,infrastructure/docs/repository/ROOT_DIRECTORY_REGISTRY.csv,retain
infrastructure/docs/repository/templates/SUPERPOWERS_DOCUMENT_HEADER.md,REPOSITORY_GOVERNANCE,infrastructure/docs/repository/templates/SUPERPOWERS_DOCUMENT_HEADER.md,retain
infrastructure/docs/superpowers/plans/2026-08-06-repository-codex-claude-git-init-plan.md,REPOSITORY_GOVERNANCE,infrastructure/docs/superpowers/plans/2026-08-06-repository-codex-claude-git-init-plan.md,retain
infrastructure/docs/superpowers/specs/2026-08-06-repository-codex-claude-git-init-design.md,REPOSITORY_GOVERNANCE,infrastructure/docs/superpowers/specs/2026-08-06-repository-codex-claude-git-init-design.md,retain
infrastructure/packages/pathology_data_registry/README.md,SHARED_PACKAGE,infrastructure/packages/pathology_data_registry/README.md,retain
infrastructure/packages/pathology_embedding_io/README.md,SHARED_PACKAGE,infrastructure/packages/pathology_embedding_io/README.md,retain
infrastructure/packages/pathology_validation/README.md,SHARED_PACKAGE,infrastructure/packages/pathology_validation/README.md,retain
infrastructure/packages/vlm_pathology_metrics/README.md,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/README.md,retain
infrastructure/packages/vlm_pathology_metrics/SURVEY_KO.md,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/SURVEY_KO.md,retain
infrastructure/packages/vlm_pathology_metrics/pyproject.toml,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/pyproject.toml,retain
infrastructure/packages/vlm_pathology_metrics/examples/select_metrics.py,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/examples/select_metrics.py,retain
infrastructure/packages/vlm_pathology_metrics/scripts/build_web_catalog.py,SHARED_PACKAGE,infrastructure/packages/vlm_pathology_metrics/scripts/build_web_catalog.py,retain
