current_path,project,proposed_path,action
.gitignore,REPOSITORY_ROOT,.gitignore,retain
AGENTS.md,REPOSITORY_ROOT,AGENTS.md,retain
CLAUDE.md,REPOSITORY_ROOT,CLAUDE.md,retain
CODE_AVAILABILITY.md,UNRESOLVED,CODE_AVAILABILITY.md,review
LICENSE,REPOSITORY_ROOT,LICENSE,retain
PNI관련연구.md,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/legacy/PNI관련연구.md,move
QUANTITATIVE_AI_VALIDATION_DISEASE_DIAGNOSIS_RESEARCH_PLAN_KO.md,quantitative_foundation_model_validation,projects/quantitative_foundation_model_validation/docs/legacy/QUANTITATIVE_AI_VALIDATION_DISEASE_DIAGNOSIS_RESEARCH_PLAN_KO.md,move
QUANTITATIV_AI_SURVEY.md,quantitative_foundation_model_validation,projects/quantitative_foundation_model_validation/docs/legacy/QUANTITATIV_AI_SURVEY.md,move
README.md,REPOSITORY_ROOT,README.md,retain
RUN_REPRODUCTION.md,UNRESOLVED,RUN_REPRODUCTION.md,review
cohort_manifest.csv,UNRESOLVED,cohort_manifest.csv,review
docs/01_motivation.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/01_motivation.md,move
docs/02_approach_and_contributions.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/02_approach_and_contributions.md,move
docs/03_experimental_results.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/03_experimental_results.md,move
docs/04_publication_strategy.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/04_publication_strategy.md,move
docs/05_vlm_benchmark_task_prompt.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/05_vlm_benchmark_task_prompt.md,move
docs/06_CRITISISM_FROM_OTHERS.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/06_CRITISISM_FROM_OTHERS.md,move
docs/07_SUGGESTION.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/07_SUGGESTION.md,move
docs/08_SUGGESTION_2.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/08_SUGGESTION_2.md,move
docs/09_IMPROVING_SUGGESTION.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/09_IMPROVING_SUGGESTION.md,move
docs/10_protocol_freeze.md,prostate_biomarker_validation,projects/prostate_biomarker_validation/docs/legacy/10_protocol_freeze.md,move
docs/11_PRECISE_PNI_PROJECT_PURPOSE_GOALS_MILESTONES_KO.md,precise_pni_candidate_triage,projects/precise_pni_candidate_triage/docs/legacy/11_PRECISE_PNI_PROJECT_PURPOSE_GOALS_MILESTONES_KO.md,move
docs/12_QUANTITATIVE_METRICS_PACKAGE_KO.md,quantitative_foundation_model_validation,projects/quantitative_foundation_model_validation/docs/legacy/12_QUANTITATIVE_METRICS_PACKAGE_KO.md,move
