metric_id	tier	tier_name	domain	status	name_ko	name_en	analysis_unit	unit_or_scale	source_type	parent_metric_ids	clinical_use	interpretation	evidence_basis
pathology.tumor_presence	T1	clinician_native	pathology	active	암 존재 여부	Tumor presence	biopsy site or slide	binary	pathologist report		routine_report	전문의가 의료 데이터에 직접 기록하는 기준 변수	EAU recommended prostate-biopsy reporting items
pathology.gleason_primary_pattern	T1	clinician_native	pathology	active	주 Gleason 패턴	Primary Gleason pattern	positive biopsy site	ordinal 3-5	pathologist report		routine_report	가장 우세한 조직학적 Gleason 패턴	CAP prostate needle-biopsy protocol; EAU prostate-cancer guideline
pathology.gleason_secondary_pattern	T1	clinician_native	pathology	active	부 Gleason 패턴	Secondary Gleason pattern	positive biopsy site	ordinal 3-5	pathologist report		routine_report	비우세 고등급 조직학적 Gleason 패턴	CAP prostate needle-biopsy protocol; EAU prostate-cancer guideline
pathology.gleason_total_score	T1	clinician_native	pathology	active	Gleason 합계 점수	Total Gleason score	positive biopsy site	ordinal 6-10	pathologist report		routine_report	주·부 Gleason 패턴의 임상 보고 합계	CAP prostate needle-biopsy protocol; EAU prostate-cancer guideline
pathology.isup_grade_group	T1	clinician_native	pathology	active	ISUP 등급군	ISUP grade group	biopsy site or patient	ordinal 1-5	pathologist report		routine_report	임상 위험층화에 사용하는 표준 병리 등급	EAU classification and staging guideline
pathology.gleason_pattern4_percent	T1	clinician_native	pathology	deferred	Gleason 4 패턴 백분율	Percentage Gleason pattern 4	Gleason score 7 biopsy site	percent	pathologist report		routine_report	Gleason 7 생검에서 보고되는 고등급 패턴 비율	CAP prostate needle-biopsy protocol; EAU diagnostic-evaluation guideline
pathology.cancer_positive_core_count	T1	clinician_native	pathology	deferred	암 양성 생검 core 수	Cancer-positive core count	patient or targeted lesion	count	pathologist report		routine_report	암 침범 생검 core의 직접 보고 수	EAU recommended prostate-biopsy reporting items
pathology.biopsy_core_count	T1	clinician_native	pathology	deferred	전체 생검 core 수	Total biopsy core count	patient or targeted lesion	count	pathology accession record		routine_report	분율 계산의 분모가 되는 평가 가능 생검 core 수	EAU recommended prostate-biopsy reporting items
pathology.cancer_extent_mm	T1	clinician_native	pathology	deferred	생검 내 암 길이	Cancer extent in biopsy	positive biopsy core	mm	pathologist report		routine_report	전문의가 mm로 보고하는 생검 암 침범 길이	EAU recommended prostate-biopsy reporting items
pathology.cancer_extent_percent	T1	clinician_native	pathology	active	생검 내 암 침범률	Cancer extent percentage	positive biopsy core or ROI	percent	pathologist report or expert annotation		routine_report	전문의가 백분율로 보고하거나 전문가 annotation으로 고정한 종양 범위	EAU recommended prostate-biopsy reporting items; PRECISE expert annotation
pathology.pni_presence	T1	clinician_native	pathology	active	신경주위침윤 존재	Perineural invasion presence	biopsy site or specimen	binary	pathologist report		routine_pathology_finding	전문의가 판독한 PNI 존재 여부이며 모델 후보점수와 다름	CAP prostate protocol; locked PRECISE morphology review
clinical.psa_ng_ml	T1	clinician_native	laboratory	deferred	혈청 PSA	Serum prostate-specific antigen	patient	ng/mL	clinical laboratory		routine_clinical	전립선암 의심과 위험층화에 사용하는 연속 임상검사	EAU diagnostic-evaluation guideline
imaging.prostate_volume_ml	T1	clinician_native	imaging	deferred	전립선 용적	Prostate volume	patient	mL	radiology or ultrasound report		routine_clinical	영상 또는 초음파에서 직접 보고되는 장기 용적	EAU diagnostic-evaluation guideline
clinical.clinical_t_stage	T1	clinician_native	clinical_stage	deferred	임상 T 병기	Clinical T stage	patient	ordinal cT1-cT4	clinician staging assessment		routine_clinical	임상의가 기록하는 해부학적 종양 범위	EAU classification and staging guideline
outcome.biochemical_recurrence_status	T1	clinician_native	clinical_outcome	active	생화학적 재발 상태	Biochemical recurrence status	patient	binary	clinical follow-up record		routine_followup	고정 endpoint 정의에 따른 관찰 임상 결과	locked LEOPARD/TCGA recurrence endpoint
outcome.biochemical_recurrence_free_time	T1	clinician_native	clinical_outcome	active	생화학적 재발까지 시간	Biochemical recurrence-free time	patient	months	clinical follow-up record		routine_followup	검열 상태와 함께 기록하는 관찰 추적시간	locked LEOPARD/TCGA recurrence endpoint
clinical.psa_density	T2	clinician_anchored_derived	clinical	deferred	PSA 밀도	PSA density	patient	ng/mL per mL	fixed arithmetic derivation	clinical.psa_ng_ml;imaging.prostate_volume_ml	routine_clinical	PSA를 영상 전립선 용적으로 나눈 임상 파생지표	EAU diagnostic-evaluation guideline
pathology.positive_core_fraction	T2	clinician_anchored_derived	pathology	deferred	암 양성 core 분율	Positive-core fraction	patient or targeted lesion	fraction	fixed arithmetic derivation	pathology.cancer_positive_core_count;pathology.biopsy_core_count	routine_clinical	평가 가능 core 수를 분모로 한 암 양성 core 비율	EAU prostate-cancer guideline
candidate.tumor_fraction	T2	clinician_anchored_derived	pathology_image	active	전문가 마스크 종양 분율	Expert-mask tumor fraction	tile or ROI	fraction	expert annotation calculation	pathology.cancer_extent_percent	descriptive_research	고정 전문가 종양 annotation을 동일 물리 FOV에서 정량화	PRECISE expert annotation; P0-G1/G6 Conditional Pass
candidate.stroma_fraction	T2	clinician_anchored_derived	pathology_image	exploratory	기질 분율	Stroma fraction	tile or ROI	fraction	expert annotation plus fixed fill algorithm	pathology.tumor_presence	research_only	전문가 annotation에 algorithm-assisted fill이 포함된 기질 점유율	PRECISE annotation utility; repeatability not established
contour.nerve_area	T2	clinician_anchored_derived	nerve_morphometry	deferred	신경 면적	Nerve area	pathologist-approved nerve contour	um2	contour geometry	pathology.pni_presence	research_only	전문의 승인 신경 contour에서 계산	approved morphology rereview design
contour.nerve_diameter	T2	clinician_anchored_derived	nerve_morphometry	deferred	신경 직경	Nerve diameter	pathologist-approved nerve contour	um	contour geometry	pathology.pni_presence	research_only	전문의 승인 contour의 등가 또는 고정 정의 직경	approved morphology rereview design
contour.aspect_ratio	T2	clinician_anchored_derived	nerve_morphometry	deferred	신경 종횡비	Nerve aspect ratio	pathologist-approved nerve contour	ratio	contour geometry	pathology.pni_presence	research_only	전문의 승인 contour에서 계산한 형태계측	approved morphology rereview design
contour.encasement_fraction	T2	clinician_anchored_derived	nerve_interface	deferred	신경 포위분율	Encasement fraction	approved cancer-nerve interface	fraction	contour geometry	pathology.pni_presence	research_only	승인된 암-신경 interface의 포위 정도	approved morphology rereview design
contour.contact_length	T2	clinician_anchored_derived	nerve_interface	deferred	암-신경 접촉길이	Cancer-nerve contact length	approved cancer-nerve interface	um	contour geometry	pathology.pni_presence	research_only	승인된 interface를 따른 물리적 접촉길이	approved morphology rereview design
contour.distance_gradient	T2	clinician_anchored_derived	nerve_interface	deferred	거리 구배	Distance-gradient effect	approved distance bands	metric-specific	spatial derivation	pathology.pni_presence	research_only	신경 경계로부터 거리대별 변화량	approved morphology rereview design
spatial.roi_tumor_fraction	T2	clinician_anchored_derived	pathology_image	exploratory	ROI 종양 분율	ROI tumor fraction	distance-band ROI	fraction	expert or fixed mask calculation	pathology.cancer_extent_percent	research_only	고정 ROI의 종양 점유율	PRECISE spatial pilot
spatial.roi_stroma_fraction	T2	clinician_anchored_derived	pathology_image	exploratory	ROI 기질 분율	ROI stroma fraction	distance-band ROI	fraction	fixed mask calculation	pathology.tumor_presence	research_only	고정 ROI의 탐색적 기질 점유율	PRECISE spatial pilot
spatial.amacr_positive_fraction	T3	research_computational	image_biomarker_proxy	exploratory	AMACR 양성 proxy 분율	AMACR-positive proxy fraction	distance-band ROI	fraction	image-processing proxy	pathology.tumor_presence	research_only	임상 IHC 판독값이 아닌 영상 proxy	PRECISE spatial pilot
spatial.amacr_chromogen_mean	T3	research_computational	image_biomarker_proxy	exploratory	AMACR chromogen 평균 proxy	Mean AMACR chromogen proxy	distance-band ROI	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	염색·스캐너에 민감한 연구용 chromogen 값	PRECISE spatial pilot
spatial.hmwck_positive_fraction	T3	research_computational	image_biomarker_proxy	exploratory	HMWCK 양성 proxy 분율	HMWCK-positive proxy fraction	distance-band ROI	fraction	image-processing proxy	pathology.tumor_presence	research_only	임상 basal-cell IHC 판독값이 아닌 영상 proxy	PRECISE spatial pilot
spatial.hmwck_chromogen_mean	T3	research_computational	image_biomarker_proxy	exploratory	HMWCK chromogen 평균 proxy	Mean HMWCK chromogen proxy	distance-band ROI	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	염색·스캐너에 민감한 연구용 chromogen 값	PRECISE spatial pilot
spatial.nuclear_density	T3	research_computational	image_morphometry	exploratory	핵 밀도	Nuclear density	distance-band ROI	count/mm2	unvalidated fixed detector	pathology.tumor_presence	research_only	검증된 detector와 수동계수 전에는 임상 계측이 아닌 연구 proxy	PRECISE spatial pilot
spatial.he_gray_mean	T3	research_computational	image_feature	exploratory	H&E 회색조 평균	Mean H&E grayscale	distance-band ROI	0-255	fixed image calculation	pathology.tumor_presence	research_only	염색·밝기 QC에 민감한 영상 특징	PRECISE spatial pilot
spatial.texture_contrast	T3	research_computational	image_texture	exploratory	H&E texture contrast	GLCM contrast	distance-band ROI	nonnegative	fixed image calculation	pathology.tumor_presence	research_only	임상 판독항목이 아닌 계산 texture	PRECISE spatial pilot
spatial.texture_homogeneity	T3	research_computational	image_texture	exploratory	H&E texture homogeneity	GLCM homogeneity	distance-band ROI	fraction	fixed image calculation	pathology.tumor_presence	research_only	임상 판독항목이 아닌 계산 texture	PRECISE spatial pilot
spatial.texture_entropy	T3	research_computational	image_texture	exploratory	H&E texture entropy	GLCM entropy	distance-band ROI	nonnegative	fixed image calculation	pathology.tumor_presence	research_only	임상 판독항목이 아닌 계산 texture	PRECISE spatial pilot
spatial.gland_lumen_fraction	T3	research_computational	image_morphometry	exploratory	샘관강 분율	Gland-lumen fraction	distance-band ROI	fraction	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 lumen contour 검증 전의 연구 proxy	PRECISE spatial pilot
spatial.gland_lumen_density	T3	research_computational	image_morphometry	exploratory	샘관강 수 밀도	Gland-lumen count density	distance-band ROI	count/mm2	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 lumen contour 검증 전의 연구 proxy	PRECISE spatial pilot
spatial.ihc_tumor_mask_fraction	T3	research_computational	image_biomarker_proxy	exploratory	IHC 종양 마스크 분율	IHC tumor-mask fraction	distance-band ROI	fraction	image-processing proxy	pathology.cancer_extent_percent	research_only	serial-section registration과 mask 품질에 의존	PRECISE spatial pilot
image.dab_ring_intensity	T3	research_computational	image_biomarker_proxy	exploratory	DAB ring 강도	Mean DAB ring intensity	image region	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	임상 IHC 판독을 대체하지 않는 영상값	PIN-4 image pilot
image.hematoxylin_ring_intensity	T3	research_computational	image_biomarker_proxy	exploratory	Hematoxylin ring 강도	Mean hematoxylin ring intensity	image region	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	임상 판독을 대체하지 않는 영상값	PIN-4 image pilot
image.dab_percentile_region	T3	research_computational	image_biomarker_proxy	exploratory	DAB 백분위 영역	DAB percentile region	image region	percentile	image-processing proxy	pathology.tumor_presence	research_only	영상 내 상대 강도 분포 특징	PIN-4 image pilot
image.lumen_area	T3	research_computational	image_morphometry	exploratory	Lumen 면적	Lumen area	gland-lumen candidate	pixel2	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_solidity	T3	research_computational	image_morphometry	exploratory	Lumen solidity	Lumen solidity	gland-lumen candidate	fraction	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_circularity	T3	research_computational	image_morphometry	exploratory	Lumen 원형도	Lumen circularity	gland-lumen candidate	ratio	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_thickness	T3	research_computational	image_morphometry	exploratory	Lumen 두께 proxy	Lumen thickness proxy	gland-lumen candidate	pixel	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_candidate_density	T3	research_computational	image_morphometry	exploratory	Lumen 후보 밀도	Lumen-candidate density	slide	count/area	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 slide-level 후보 밀도	lumen image pilot
candidate.prototype_score	T4	model_derived	model_output	active	PNI prototype 점수	PNI prototype score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	임상 지표가 아니라 고정 후보순위 구성요소	PRECISE frozen-score audit
candidate.text_pni_score	T4	model_derived	model_output	active	Text-PNI 점수	Text-PNI score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	임상 지표가 아니라 고정 후보순위 구성요소	PRECISE frozen-score audit
candidate.nerve_score	T4	model_derived	model_output	active	신경 점수	Nerve score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	임상 지표가 아니라 고정 후보순위 구성요소	PRECISE frozen-score audit
candidate.component_percentile	T4	model_derived	model_output	active	구성요소 백분위 순위	Component percentile rank	candidate window	0-1	frozen score transform	pathology.pni_presence	triage_only	고정 component score의 후보집합 내 순위	PRECISE frozen-score audit
candidate.combined_score	T4	model_derived	model_output	active	고정 결합점수	Frozen combined score	candidate window	0-1	frozen model output	pathology.pni_presence	triage_only	병리 진단확률이 아닌 후보 triage 점수	PRECISE frozen-score audit
candidate.global_rank	T4	model_derived	model_output	active	전역 후보 순위	Global candidate rank	spatially distinct candidate	positive integer	frozen ranking	pathology.pni_presence	triage_only	전체 후보집합 내 검토 우선순위	PRECISE frozen-score audit
