metric_id	tier	tier_name	domain	status	name_ko	name_en	analysis_unit	unit_or_scale	source_type	parent_metric_ids	clinical_use	interpretation	evidence_basis
pathology.tumor_presence	T1	clinician_native	pathology	active	암 존재 여부	Tumor presence	biopsy site or slide	binary	pathologist report		routine_report	전문의가 의료 데이터에 직접 기록하는 기준 변수	EAU recommended prostate-biopsy reporting items
pathology.gleason_primary_pattern	T1	clinician_native	pathology	active	주 Gleason 패턴	Primary Gleason pattern	positive biopsy site	ordinal 3-5	pathologist report		routine_report	가장 우세한 조직학적 Gleason 패턴	CAP prostate needle-biopsy protocol; EAU prostate-cancer guideline
pathology.gleason_secondary_pattern	T1	clinician_native	pathology	active	부 Gleason 패턴	Secondary Gleason pattern	positive biopsy site	ordinal 3-5	pathologist report		routine_report	비우세 고등급 조직학적 Gleason 패턴	CAP prostate needle-biopsy protocol; EAU prostate-cancer guideline
pathology.gleason_total_score	T1	clinician_native	pathology	active	Gleason 합계 점수	Total Gleason score	positive biopsy site	ordinal 6-10	pathologist report		routine_report	주·부 Gleason 패턴의 임상 보고 합계	CAP prostate needle-biopsy protocol; EAU prostate-cancer guideline
pathology.isup_grade_group	T1	clinician_native	pathology	active	ISUP 등급군	ISUP grade group	biopsy site or patient	ordinal 1-5	pathologist report		routine_report	임상 위험층화에 사용하는 표준 병리 등급	EAU classification and staging guideline
pathology.gleason_pattern4_percent	T1	clinician_native	pathology	deferred	Gleason 4 패턴 백분율	Percentage Gleason pattern 4	Gleason score 7 biopsy site	percent	pathologist report		routine_report	Gleason 7 생검에서 보고되는 고등급 패턴 비율	CAP prostate needle-biopsy protocol; EAU diagnostic-evaluation guideline
pathology.cancer_positive_core_count	T1	clinician_native	pathology	deferred	암 양성 생검 core 수	Cancer-positive core count	patient or targeted lesion	count	pathologist report		routine_report	암 침범 생검 core의 직접 보고 수	EAU recommended prostate-biopsy reporting items
pathology.biopsy_core_count	T1	clinician_native	pathology	deferred	전체 생검 core 수	Total biopsy core count	patient or targeted lesion	count	pathology accession record		routine_report	분율 계산의 분모가 되는 평가 가능 생검 core 수	EAU recommended prostate-biopsy reporting items
pathology.cancer_extent_mm	T1	clinician_native	pathology	deferred	생검 내 암 길이	Cancer extent in biopsy	positive biopsy core	mm	pathologist report		routine_report	전문의가 mm로 보고하는 생검 암 침범 길이	EAU recommended prostate-biopsy reporting items
pathology.cancer_extent_percent	T1	clinician_native	pathology	active	생검 내 암 침범률	Cancer extent percentage	positive biopsy core or ROI	percent	pathologist report or expert annotation		routine_report	전문의가 백분율로 보고하거나 전문가 annotation으로 고정한 종양 범위	EAU recommended prostate-biopsy reporting items; PRECISE expert annotation
pathology.pni_presence	T1	clinician_native	pathology	active	신경주위침윤 존재	Perineural invasion presence	biopsy site or specimen	binary	pathologist report		routine_pathology_finding	전문의가 판독한 PNI 존재 여부이며 모델 후보점수와 다름	CAP prostate protocol; locked PRECISE morphology review
clinical.psa_ng_ml	T1	clinician_native	laboratory	deferred	혈청 PSA	Serum prostate-specific antigen	patient	ng/mL	clinical laboratory		routine_clinical	전립선암 의심과 위험층화에 사용하는 연속 임상검사	EAU diagnostic-evaluation guideline
imaging.prostate_volume_ml	T1	clinician_native	imaging	deferred	전립선 용적	Prostate volume	patient	mL	radiology or ultrasound report		routine_clinical	영상 또는 초음파에서 직접 보고되는 장기 용적	EAU diagnostic-evaluation guideline
clinical.clinical_t_stage	T1	clinician_native	clinical_stage	deferred	임상 T 병기	Clinical T stage	patient	ordinal cT1-cT4	clinician staging assessment		routine_clinical	임상의가 기록하는 해부학적 종양 범위	EAU classification and staging guideline
outcome.biochemical_recurrence_status	T1	clinician_native	clinical_outcome	active	생화학적 재발 상태	Biochemical recurrence status	patient	binary	clinical follow-up record		routine_followup	고정 endpoint 정의에 따른 관찰 임상 결과	locked LEOPARD/TCGA recurrence endpoint
outcome.biochemical_recurrence_free_time	T1	clinician_native	clinical_outcome	active	생화학적 재발까지 시간	Biochemical recurrence-free time	patient	months	clinical follow-up record		routine_followup	검열 상태와 함께 기록하는 관찰 추적시간	locked LEOPARD/TCGA recurrence endpoint
