metric_id	tier	tier_name	domain	status	name_ko	name_en	analysis_unit	unit_or_scale	source_type	parent_metric_ids	clinical_use	interpretation	evidence_basis
clinical.psa_density	T2	clinician_anchored_derived	clinical	deferred	PSA 밀도	PSA density	patient	ng/mL per mL	fixed arithmetic derivation	clinical.psa_ng_ml;imaging.prostate_volume_ml	routine_clinical	PSA를 영상 전립선 용적으로 나눈 임상 파생지표	EAU diagnostic-evaluation guideline
pathology.positive_core_fraction	T2	clinician_anchored_derived	pathology	deferred	암 양성 core 분율	Positive-core fraction	patient or targeted lesion	fraction	fixed arithmetic derivation	pathology.cancer_positive_core_count;pathology.biopsy_core_count	routine_clinical	평가 가능 core 수를 분모로 한 암 양성 core 비율	EAU prostate-cancer guideline
candidate.tumor_fraction	T2	clinician_anchored_derived	pathology_image	active	전문가 마스크 종양 분율	Expert-mask tumor fraction	tile or ROI	fraction	expert annotation calculation	pathology.cancer_extent_percent	descriptive_research	고정 전문가 종양 annotation을 동일 물리 FOV에서 정량화	PRECISE expert annotation; P0-G1/G6 Conditional Pass
candidate.stroma_fraction	T2	clinician_anchored_derived	pathology_image	exploratory	기질 분율	Stroma fraction	tile or ROI	fraction	expert annotation plus fixed fill algorithm	pathology.tumor_presence	research_only	전문가 annotation에 algorithm-assisted fill이 포함된 기질 점유율	PRECISE annotation utility; repeatability not established
contour.nerve_area	T2	clinician_anchored_derived	nerve_morphometry	deferred	신경 면적	Nerve area	pathologist-approved nerve contour	um2	contour geometry	pathology.pni_presence	research_only	전문의 승인 신경 contour에서 계산	approved morphology rereview design
contour.nerve_diameter	T2	clinician_anchored_derived	nerve_morphometry	deferred	신경 직경	Nerve diameter	pathologist-approved nerve contour	um	contour geometry	pathology.pni_presence	research_only	전문의 승인 contour의 등가 또는 고정 정의 직경	approved morphology rereview design
contour.aspect_ratio	T2	clinician_anchored_derived	nerve_morphometry	deferred	신경 종횡비	Nerve aspect ratio	pathologist-approved nerve contour	ratio	contour geometry	pathology.pni_presence	research_only	전문의 승인 contour에서 계산한 형태계측	approved morphology rereview design
contour.encasement_fraction	T2	clinician_anchored_derived	nerve_interface	deferred	신경 포위분율	Encasement fraction	approved cancer-nerve interface	fraction	contour geometry	pathology.pni_presence	research_only	승인된 암-신경 interface의 포위 정도	approved morphology rereview design
contour.contact_length	T2	clinician_anchored_derived	nerve_interface	deferred	암-신경 접촉길이	Cancer-nerve contact length	approved cancer-nerve interface	um	contour geometry	pathology.pni_presence	research_only	승인된 interface를 따른 물리적 접촉길이	approved morphology rereview design
contour.distance_gradient	T2	clinician_anchored_derived	nerve_interface	deferred	거리 구배	Distance-gradient effect	approved distance bands	metric-specific	spatial derivation	pathology.pni_presence	research_only	신경 경계로부터 거리대별 변화량	approved morphology rereview design
spatial.roi_tumor_fraction	T2	clinician_anchored_derived	pathology_image	exploratory	ROI 종양 분율	ROI tumor fraction	distance-band ROI	fraction	expert or fixed mask calculation	pathology.cancer_extent_percent	research_only	고정 ROI의 종양 점유율	PRECISE spatial pilot
spatial.roi_stroma_fraction	T2	clinician_anchored_derived	pathology_image	exploratory	ROI 기질 분율	ROI stroma fraction	distance-band ROI	fraction	fixed mask calculation	pathology.tumor_presence	research_only	고정 ROI의 탐색적 기질 점유율	PRECISE spatial pilot
