metric_id	tier	tier_name	domain	status	name_ko	name_en	analysis_unit	unit_or_scale	source_type	parent_metric_ids	clinical_use	interpretation	evidence_basis
spatial.amacr_positive_fraction	T3	research_computational	image_biomarker_proxy	exploratory	AMACR 양성 proxy 분율	AMACR-positive proxy fraction	distance-band ROI	fraction	image-processing proxy	pathology.tumor_presence	research_only	임상 IHC 판독값이 아닌 영상 proxy	PRECISE spatial pilot
spatial.amacr_chromogen_mean	T3	research_computational	image_biomarker_proxy	exploratory	AMACR chromogen 평균 proxy	Mean AMACR chromogen proxy	distance-band ROI	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	염색·스캐너에 민감한 연구용 chromogen 값	PRECISE spatial pilot
spatial.hmwck_positive_fraction	T3	research_computational	image_biomarker_proxy	exploratory	HMWCK 양성 proxy 분율	HMWCK-positive proxy fraction	distance-band ROI	fraction	image-processing proxy	pathology.tumor_presence	research_only	임상 basal-cell IHC 판독값이 아닌 영상 proxy	PRECISE spatial pilot
spatial.hmwck_chromogen_mean	T3	research_computational	image_biomarker_proxy	exploratory	HMWCK chromogen 평균 proxy	Mean HMWCK chromogen proxy	distance-band ROI	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	염색·스캐너에 민감한 연구용 chromogen 값	PRECISE spatial pilot
spatial.nuclear_density	T3	research_computational	image_morphometry	exploratory	핵 밀도	Nuclear density	distance-band ROI	count/mm2	unvalidated fixed detector	pathology.tumor_presence	research_only	검증된 detector와 수동계수 전에는 임상 계측이 아닌 연구 proxy	PRECISE spatial pilot
spatial.he_gray_mean	T3	research_computational	image_feature	exploratory	H&E 회색조 평균	Mean H&E grayscale	distance-band ROI	0-255	fixed image calculation	pathology.tumor_presence	research_only	염색·밝기 QC에 민감한 영상 특징	PRECISE spatial pilot
spatial.texture_contrast	T3	research_computational	image_texture	exploratory	H&E texture contrast	GLCM contrast	distance-band ROI	nonnegative	fixed image calculation	pathology.tumor_presence	research_only	임상 판독항목이 아닌 계산 texture	PRECISE spatial pilot
spatial.texture_homogeneity	T3	research_computational	image_texture	exploratory	H&E texture homogeneity	GLCM homogeneity	distance-band ROI	fraction	fixed image calculation	pathology.tumor_presence	research_only	임상 판독항목이 아닌 계산 texture	PRECISE spatial pilot
spatial.texture_entropy	T3	research_computational	image_texture	exploratory	H&E texture entropy	GLCM entropy	distance-band ROI	nonnegative	fixed image calculation	pathology.tumor_presence	research_only	임상 판독항목이 아닌 계산 texture	PRECISE spatial pilot
spatial.gland_lumen_fraction	T3	research_computational	image_morphometry	exploratory	샘관강 분율	Gland-lumen fraction	distance-band ROI	fraction	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 lumen contour 검증 전의 연구 proxy	PRECISE spatial pilot
spatial.gland_lumen_density	T3	research_computational	image_morphometry	exploratory	샘관강 수 밀도	Gland-lumen count density	distance-band ROI	count/mm2	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 lumen contour 검증 전의 연구 proxy	PRECISE spatial pilot
spatial.ihc_tumor_mask_fraction	T3	research_computational	image_biomarker_proxy	exploratory	IHC 종양 마스크 분율	IHC tumor-mask fraction	distance-band ROI	fraction	image-processing proxy	pathology.cancer_extent_percent	research_only	serial-section registration과 mask 품질에 의존	PRECISE spatial pilot
image.dab_ring_intensity	T3	research_computational	image_biomarker_proxy	exploratory	DAB ring 강도	Mean DAB ring intensity	image region	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	임상 IHC 판독을 대체하지 않는 영상값	PIN-4 image pilot
image.hematoxylin_ring_intensity	T3	research_computational	image_biomarker_proxy	exploratory	Hematoxylin ring 강도	Mean hematoxylin ring intensity	image region	arbitrary intensity	image-processing proxy	pathology.tumor_presence	research_only	임상 판독을 대체하지 않는 영상값	PIN-4 image pilot
image.dab_percentile_region	T3	research_computational	image_biomarker_proxy	exploratory	DAB 백분위 영역	DAB percentile region	image region	percentile	image-processing proxy	pathology.tumor_presence	research_only	영상 내 상대 강도 분포 특징	PIN-4 image pilot
image.lumen_area	T3	research_computational	image_morphometry	exploratory	Lumen 면적	Lumen area	gland-lumen candidate	pixel2	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_solidity	T3	research_computational	image_morphometry	exploratory	Lumen solidity	Lumen solidity	gland-lumen candidate	fraction	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_circularity	T3	research_computational	image_morphometry	exploratory	Lumen 원형도	Lumen circularity	gland-lumen candidate	ratio	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_thickness	T3	research_computational	image_morphometry	exploratory	Lumen 두께 proxy	Lumen thickness proxy	gland-lumen candidate	pixel	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 lumen 후보 특징	lumen image pilot
image.lumen_candidate_density	T3	research_computational	image_morphometry	exploratory	Lumen 후보 밀도	Lumen-candidate density	slide	count/area	unvalidated image segmentation	pathology.tumor_presence	research_only	전문가 contour 검증 전의 slide-level 후보 밀도	lumen image pilot
