reference_id	citation	year	evidence_type	diseases	key_finding_ko	url	doi
R001	Prihadi et al. AMACR is a highly sensitive and specific immunohistochemical marker for diagnosing prostate cancer on biopsy: a systematic review and meta-analysis	2025	systematic_review_meta_analysis	prostate_adenocarcinoma	전립선 생검 AMACR IHC 27개 연구 메타분석에서 pooled sensitivity 0.90과 specificity 0.91을 보고했으나 이질성이 있었다	https://pubmed.ncbi.nlm.nih.gov/40605376/	10.4132/jptm.2025.04.16
R002	Kumaresan et al. Diagnostic utility of triple antibody AMACR HMWCK and p63 stain in prostate neoplasm	2019	prospective_single_cohort	prostate_adenocarcinoma	형태학적으로 어려운 전립선 병변에서 AMACR 양성과 basal-cell marker HMWCK/p63 조합의 진단 보조 가능성을 평가했다	https://pubmed.ncbi.nlm.nih.gov/31548949/	10.4103/jfmpc.jfmpc_432_19
R003	Karwacki et al. Perineural invasion in radical prostatectomy specimens and its association with biochemical recurrence and survival: systematic review and meta-analysis	2026	systematic_review_meta_analysis	prostate_adenocarcinoma	58개 연구를 검토했고 PNI가 BCR과 연관됐지만 주로 후향 연구이며 bias 위험이 있었다	https://pubmed.ncbi.nlm.nih.gov/41726852/	10.1016/j.euros.2026.01.018
R004	Mosquera-Lopez et al. Computer-aided prostate cancer diagnosis from digitized histopathology: a review on texture-based systems	2015	narrative_review	prostate_adenocarcinoma	texture와 형태 특징은 전립선암 검출·grading CAD에 연구됐지만 전처리·분류·검증 설계에 따라 달라진다	https://pubmed.ncbi.nlm.nih.gov/25055385/	10.1109/RBME.2014.2340401
R005	Russo et al. Oncological outcomes of cribriform histology pattern in prostate cancer: systematic review and meta-analysis	2023	systematic_review_meta_analysis	prostate_adenocarcinoma	cribriform pattern은 adverse pathology와 BCR 및 cancer-specific mortality 위험 증가와 연관됐다	https://pubmed.ncbi.nlm.nih.gov/36216967/	10.1038/s41391-022-00600-y
R006	Erak et al. Predicting prostate cancer molecular subtype with deep learning on histopathologic images	2023	multi_cohort_validation	prostate_adenocarcinoma	H&E WSI로 ERG와 PTEN 상태를 screening한 multi-cohort 연구에서 외부 cohort AUROC를 보고했다	https://pubmed.ncbi.nlm.nih.gov/37307876/	10.1016/j.modpat.2023.100247
R007	Spinos et al. Association between ERG/PTEN genes and pathologic parameters of prostate cancer with emphasis on Gleason score	2023	narrative_review	prostate_adenocarcinoma	PTEN loss는 adverse pathology와 더 일관되게 연관됐고 ERG-형태 연관성은 연구 간 논쟁적이었다	https://pubmed.ncbi.nlm.nih.gov/37168967/	10.21873/cdp.10214
R008	Knijn et al. Perineural invasion is a strong prognostic factor in colorectal cancer: a systematic review	2016	systematic_review_meta_analysis	colorectal_adenocarcinoma	58개 연구 22900명에서 PNI는 재발과 생존 저하에 연관되어 고위험 병리 특징으로 제시됐다	https://pubmed.ncbi.nlm.nih.gov/26426380/	10.1097/PAS.0000000000000518
R009	Tang et al. Radiomics for prediction of perineural invasion in colorectal cancer: systematic review and meta-analysis	2025	systematic_review_meta_analysis	colorectal_adenocarcinoma	CRC PNI 예측 radiomics 연구를 종합했지만 영상 modality와 모델 이질성 및 bias 평가가 필요했다	https://pubmed.ncbi.nlm.nih.gov/39841228/	10.1007/s00261-024-04713-x
R010	Tao et al. Prognostic role of perineural invasion for survival in head and neck squamous cell carcinoma: systematic review and meta-analysis	2024	systematic_review_meta_analysis	head_neck_squamous_cell_carcinoma	74개 연구 27559명에서 PNI의 생존 예후 관련성을 종합했다	https://pubmed.ncbi.nlm.nih.gov/39061154/	10.3390/cancers16142514
