semantic_key,endpoint_id,endpoint_label,result_type,contrast_id,metric,n,n_events,primary_estimate,ci_low,ci_high,null_value,evidence_state,missingness_status,missingness_detail,source_path,source_field
E08_official_pfi:frozen_risk:c_index,E08_official_pfi,Official TCGA-CDR PFI,frozen_risk_performance,not_applicable,c_index,270,42,0.5862437090132682,0.4817488980034415,0.6892853745624371,0.5,context_sensitive,bootstrap_accounted,0 of 2000 bootstrap replicates undefined,models/pfi_performance_summary.csv,endpoint_id|n_evaluable|n_events|c_index|c_index_ci_low|c_index_ci_high|n_bootstrap_requested|n_bootstrap_undefined
E04_reconstructed_with_tumor:frozen_risk:c_index,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,frozen_risk_performance,not_applicable,c_index,270,57,0.6731729987219705,0.5871400451955093,0.7592331166307894,0.5,context_sensitive,bootstrap_accounted,0 of 2000 bootstrap replicates undefined,models/pfi_performance_summary.csv,endpoint_id|n_evaluable|n_events|c_index|c_index_ci_low|c_index_ci_high|n_bootstrap_requested|n_bootstrap_undefined
E04_reconstructed_with_tumor:FULL_COMBINED_VS_FULL:c_index,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,FULL_COMBINED_VS_FULL,c_index,153,30,-0.0006510416666666,-0.0204362271525496,0.0186912672800905,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:FULL_COMBINED_VS_FULL:ibs_0.5_5y,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,FULL_COMBINED_VS_FULL,ibs_0.5_5y,153,30,0.0040054774828252,-0.0028740528534206,0.0108815387969347,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:GRADE_COMBINED_VS_GRADE:c_index,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,GRADE_COMBINED_VS_GRADE,c_index,153,30,0.08251953125,0.0115283258729746,0.1568930110771406,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:GRADE_COMBINED_VS_GRADE:ibs_0.5_5y,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,GRADE_COMBINED_VS_GRADE,ibs_0.5_5y,153,30,0.0053287009042682,-0.0024796613586015,0.0133244914658538,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:IMAGE_VS_FULL:c_index,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,IMAGE_VS_FULL,c_index,153,30,-0.1725260416666666,-0.3116905688382541,-0.0528126693266341,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:IMAGE_VS_FULL:ibs_0.5_5y,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,IMAGE_VS_FULL,ibs_0.5_5y,153,30,-0.017042770191637,-0.0439019350388155,0.0109637988763836,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:IMAGE_VS_GRADE:c_index,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,IMAGE_VS_GRADE,c_index,153,30,0.02490234375,-0.1371153068548982,0.1763475770080508,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:IMAGE_VS_GRADE:ibs_0.5_5y,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,IMAGE_VS_GRADE,ibs_0.5_5y,153,30,-0.0006267966683583,-0.0186025301107455,0.0172815009088108,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:M5_VS_M4:c_index,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,M5_VS_M4,c_index,153,30,-0.0061848958333332,-0.0207478826910584,0.0061929724421887,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
E04_reconstructed_with_tumor:M5_VS_M4:ibs_0.5_5y,E04_reconstructed_with_tumor,Reconstructed with-tumor endpoint,same_patient_same_draw_delta,M5_VS_M4,ibs_0.5_5y,153,30,0.0009025751835526,-0.0027803053156365,0.0046027406439356,0.0,context_sensitive,bootstrap_accounted,0 of 2000 paired bootstrap draws undefined,models/marker7_survival_paired_deltas.csv,endpoint_id|contrast_id|metric|n_patients|n_events|improvement_delta|improvement_ci_low|improvement_ci_high|n_bootstrap_requested|n_bootstrap_undefined|delta_definition
