contrast,pair_id,cell_id_a,cell_id_b,marker,outcome_type,primary_metric,sampling_seed,encoder_a,encoder_b,tiles_per_slide_a,tiles_per_slide_b,target_mpp_a,target_mpp_b,patient_metric_a,patient_metric_b,delta_b_minus_a,null_value,metric_direction,relation_a,relation_b,null_crossing,exact_tie
native_vs_1.76,native_vs_1.76__ar__conch__s0__t16,ar__conch__s0__t16__mpp0.88,ar__conch__s0__t16__mpp1.76,ar,continuous,patient_spearman_rho,0,CONCH,CONCH,16,16,0.88,1.76,0.167555977324077,0.149329286562319,-0.0182266907617575,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s0__t32,ar__conch__s0__t32__mpp0.88,ar__conch__s0__t32__mpp1.76,ar,continuous,patient_spearman_rho,0,CONCH,CONCH,32,32,0.88,1.76,0.222040827882291,0.200161544505213,-0.0218792833770783,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s0__t64,ar__conch__s0__t64__mpp0.88,ar__conch__s0__t64__mpp1.76,ar,continuous,patient_spearman_rho,0,CONCH,CONCH,64,64,0.88,1.76,0.239021284477058,0.243352139890315,0.00433085541325692,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s1__t16,ar__conch__s1__t16__mpp0.88,ar__conch__s1__t16__mpp1.76,ar,continuous,patient_spearman_rho,1,CONCH,CONCH,16,16,0.88,1.76,0.227565425819916,0.190173977357168,-0.0373914484627477,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s1__t32,ar__conch__s1__t32__mpp0.88,ar__conch__s1__t32__mpp1.76,ar,continuous,patient_spearman_rho,1,CONCH,CONCH,32,32,0.88,1.76,0.247032157914422,0.203215496477138,-0.0438166614372841,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s1__t64,ar__conch__s1__t64__mpp0.88,ar__conch__s1__t64__mpp1.76,ar,continuous,patient_spearman_rho,1,CONCH,CONCH,64,64,0.88,1.76,0.263385663766401,0.222323044185606,-0.0410626195807945,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s2__t16,ar__conch__s2__t16__mpp0.88,ar__conch__s2__t16__mpp1.76,ar,continuous,patient_spearman_rho,2,CONCH,CONCH,16,16,0.88,1.76,0.2423724924926,0.159836756889825,-0.0825357356027748,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s2__t32,ar__conch__s2__t32__mpp0.88,ar__conch__s2__t32__mpp1.76,ar,continuous,patient_spearman_rho,2,CONCH,CONCH,32,32,0.88,1.76,0.231016014080199,0.244510494790443,0.0134944807102436,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s2__t64,ar__conch__s2__t64__mpp0.88,ar__conch__s2__t64__mpp1.76,ar,continuous,patient_spearman_rho,2,CONCH,CONCH,64,64,0.88,1.76,0.270380027697466,0.247381020910056,-0.0229990067874104,0,higher_is_better,above_null,above_null,False,False
native_vs_1.76,native_vs_1.76__ar__conch__s3__t16,ar__conch__s3__t16__mpp0.88,ar__conch__s3__t16__mpp1.76,ar,continuous,patient_spearman_rho,3,CONCH,CONCH,16,16,0.88,1.76,0.284609981198168,0.285950877260001,0.00134089606183307,0,higher_is_better,above_null,above_null,False,False
