resource_path,resource_class,owner_project,git_policy,provenance
resources/data/manifests,dataset_manifests,repository,tracked,hash and access records for local datasets
resources/data/shared/opendataset,shared_external_dataset,shared,ignored_symlink,external Microsoft prostate dataset root
resources/data/shared/song-datasets,shared_local_dataset,shared,ignored,local shared dataset collection
resources/data/prostate_biomarker_validation/local-data,project_local_dataset,prostate_biomarker_validation,ignored,TCGA-CDR and biomarker analysis inputs
resources/projects/precise_pni_candidate_triage,project_model_resources,precise_pni_candidate_triage,policy_files_only,reserved project-owned model and cache root
resources/projects/quantitative_foundation_model_validation,project_model_resources,quantitative_foundation_model_validation,policy_files_only,reserved project-owned model and cache root
resources/projects/prostate_biomarker_validation/model_workspace,project_model_workspace,prostate_biomarker_validation,ignored_except_readme,moved from root model-weights and historical models workspace
resources/artifacts/precise_pni_candidate_triage,generated_artifacts,precise_pni_candidate_triage,policy_files_only,project-generated local artifacts
resources/artifacts/quantitative_foundation_model_validation,generated_artifacts,quantitative_foundation_model_validation,policy_files_only,project-generated local artifacts
resources/artifacts/prostate_biomarker_validation,generated_artifacts,prostate_biomarker_validation,policy_files_only,project-generated local artifacts and archives
resources/artifacts/prostate_biomarker_validation/archives/paper_pre_restructure_20260803_162622,archive,prostate_biomarker_validation,ignored,pre-restructure paper snapshot
resources/artifacts/prostate_biomarker_validation/workflow_history/superpowers_sdd,workflow_history,prostate_biomarker_validation,ignored,moved Superpowers intermediate SDD state
